"BookID","CategoryID"
"1","76699"
"1","51127"
"2","14726"
"2","96282"
"3","10730"
"4","821"
"4","27051"
"5","5732"
"6","68227"
"7","72164"
"7","77465"
"8","8528"
"8","78119"
"9","83157"
"9","100413"
"10","270"
"11","98205"
"12","103228"
"12","98288"
"13","97964"
"14","62879"
"14","56124"
"15","4001"
"15","17321"
"16","30325"
"17","3631"
"18","2653"
"18","79532"
"19","39794"
"19","37731"
"20","36675"
"20","80138"
"21","46653"
"22","78618"
"22","49683"
"23","7818"
"24","55917"
"25","106870"
"26","82411"
"27","83901"
"27","50043"
"28","4377"
"28","53944"
"29","65940"
"29","86045"
"30","70832"
"31","30212"
"32","26633"
"33","75697"
"34","90564"
"34","70684"
"35","92498"
"35","47452"
"36","62468"
"37","29763"
"37","94826"
"38","60370"
"39","10029"
"39","20389"
"40","99768"
"40","91555"
"41","104656"
"41","69583"
"42","105580"
"42","95949"
"43","11448"
"43","75862"
"44","62458"
"45","108830"
"45","85738"
"46","53104"
"46","51049"
"47","43559"
"47","19728"
"48","98953"
"49","26615"
"50","102736"
"50","92960"
"51","21712"
"52","1264"
"53","96562"
"53","98168"
"54","5626"
"54","10447"
"55","100994"
"55","79687"
"56","61735"
"57","66924"
"58","61860"
"59","93381"
"60","68508"
"61","27579"
"61","60275"
"62","96216"
"63","88135"
"63","37609"
"64","19862"
"65","96676"
"66","42952"
"67","12048"
"68","4049"
"69","96952"
"70","31655"
"71","14860"
"72","81918"
"72","60026"
"73","51591"
"73","66326"
"74","94207"
"75","35371"
"75","73451"
"76","107699"
"76","82277"
"77","46574"
"78","31081"
"78","106564"
"79","59622"
"80","59869"
"80","48474"
"81","23613"
"82","90828"
"82","1148"
"83","28912"
"83","14543"
"84","29594"
"85","86266"
"86","34944"
"87","21714"
"88","76850"
"89","89816"
"90","52762"
"90","100070"
"91","91564"
"91","64151"
"92","107638"
"92","98033"
"93","53140"
"94","108672"
"95","19872"
"95","50498"
"96","46731"
"96","41293"
"97","70006"
"97","44127"
"98","16552"
"99","91393"
"99","52441"
"100","108713"
"101","37452"
"102","15084"
"102","54150"
"103","69210"
"103","103590"
"104","102578"
"104","61376"
"105","25789"
"105","78112"
"106","33163"
"106","29294"
"107","99612"
"107","79853"
"108","47480"
"109","17869"
"110","15658"
"110","60832"
"111","17190"
"111","35138"
"112","57268"
"112","41658"
"113","82417"
"114","30585"
"115","106984"
"116","63638"
"116","91764"
"117","87435"
"117","87087"
"118","33339"
"119","108639"
"119","61772"
"120","93898"
"120","23744"
"121","23152"
"122","86415"
"123","1877"
"124","75196"
"125","77434"
"126","8986"
"126","43654"
"127","29887"
"127","47196"
"128","75598"
"129","31649"
"129","1836"
"130","80777"
"130","2864"
"131","91493"
"132","85717"
"133","37172"
"133","40547"
"134","13653"
"135","7690"
"135","89664"
"136","95894"
"137","60800"
"138","105440"
"139","81427"
"140","19545"
"141","88761"
"141","54237"
"142","31107"
"142","36747"
"143","76041"
"144","71930"
"144","61171"
"145","10642"
"145","67572"
"146","107435"
"147","22868"
"147","99584"
"148","45723"
"148","43442"
"149","47672"
"149","3389"
"150","22970"
"151","81986"
"152","79527"
"152","104552"
"153","34648"
"154","106849"
"154","13227"
"155","97962"
"156","27303"
"156","7234"
"157","85227"
"158","22597"
"158","88413"
"159","45888"
"159","96593"
"160","73686"
"161","71206"
"161","95698"
"162","13734"
"162","101234"
"163","75631"
"164","10367"
"164","39136"
"165","36148"
"166","25405"
"167","89879"
"168","62832"
"169","96135"
"170","25325"
"170","98963"
"171","61801"
"172","65653"
"172","57680"
"173","15915"
"173","24154"
"174","63601"
"174","43473"
"175","73656"
"176","56859"
"177","85888"
"177","79048"
"178","106246"
"178","26886"
"179","2691"
"180","28233"
"180","42157"
"181","34332"
"182","90922"
"182","62910"
"183","75112"
"184","86576"
"185","23688"
"185","29107"
"186","10948"
"186","11004"
"187","7505"
"187","890"
"188","103231"
"188","37326"
"189","4382"
"190","94697"
"191","3055"
"192","75451"
"192","3079"
"193","18040"
"193","92237"
"194","30158"
"194","79469"
"195","9486"
"195","102884"
"196","97399"
"197","85212"
"198","91894"
"198","48711"
"199","48006"
"199","53850"
"200","21789"
"200","89506"
"201","99401"
"201","16237"
"202","9531"
"202","84077"
"203","106790"
"204","86618"
"205","54306"
"206","78896"
"206","20578"
"207","51346"
"207","31089"
"208","39139"
"208","52219"
"209","32667"
"209","49547"
"210","109694"
"211","85636"
"211","104621"
"212","34375"
"213","77109"
"214","95999"
"215","19244"
"216","23393"
"216","70264"
"217","69274"
"217","22346"
"218","15212"
"218","78719"
"219","5597"
"219","1696"
"220","76206"
"221","2519"
"222","37965"
"222","55540"
"223","101379"
"224","49379"
"225","21643"
"225","63299"
"226","48685"
"227","61087"
"227","93697"
"228","107247"
"228","91910"
"229","56307"
"229","5429"
"230","83855"
"230","67802"
"231","26804"
"232","97120"
"233","81083"
"234","16564"
"235","79152"
"236","55793"
"237","64729"
"237","37617"
"238","73624"
"238","108122"
"239","27555"
"239","53453"
"240","67561"
"240","86683"
"241","15780"
"241","45784"
"242","16015"
"242","27038"
"243","38572"
"244","54332"
"244","72423"
"245","75893"
"246","81187"
"246","33194"
"247","42125"
"247","107913"
"248","28288"
"248","14406"
"249","45165"
"250","48478"
"251","85915"
"251","98791"
"252","6164"
"252","15315"
"253","25926"
"253","21428"
"254","64791"
"254","100089"
"255","75173"
"256","98979"
"256","107817"
"257","96940"
"258","16882"
"259","47740"
"260","83823"
"261","60730"
"261","53131"
"262","48222"
"262","20722"
"263","36068"
"263","105847"
"264","27752"
"265","104918"
"266","9886"
"267","100663"
"267","85603"
"268","62122"
"268","25401"
"269","63386"
"269","65191"
"270","11820"
"270","97286"
"271","85986"
"271","80623"
"272","72775"
"273","29171"
"273","70107"
"274","22963"
"275","105501"
"276","43716"
"277","105287"
"277","99273"
"278","95814"
"278","28836"
"279","37067"
"279","32850"
"280","97348"
"281","84224"
"281","52466"
"282","5458"
"283","45184"
"283","8564"
"284","87494"
"285","75158"
"286","35942"
"287","68548"
"288","35445"
"289","84945"
"289","106524"
"290","32202"
"291","78234"
"292","17761"
"292","447"
"293","77185"
"293","95469"
"294","105139"
"295","105087"
"296","53424"
"296","32051"
"297","19277"
"298","23721"
"299","71674"
"300","37169"
"300","77071"
"301","4335"
"302","4646"
"302","10750"
"303","94588"
"304","65546"
"304","54109"
"305","85267"
"306","9124"
"307","107386"
"308","85980"
"308","58399"
"309","81045"
"310","104292"
"310","49390"
"311","22755"
"311","28767"
"312","44309"
"312","53834"
"313","93456"
"313","93000"
"314","61377"
"314","8595"
"315","16920"
"315","23121"
"316","87002"
"316","21085"
"317","96019"
"318","70552"
"318","86548"
"319","22234"
"320","85703"
"320","53204"
"321","92012"
"322","93279"
"322","1574"
"323","83362"
"324","72037"
"324","21312"
"325","63140"
"325","78"
"326","92972"
"327","49227"
"327","83395"
"328","40823"
"328","45203"
"329","87630"
"329","69900"
"330","84185"
"330","46350"
"331","54734"
"332","90338"
"333","86530"
"334","58061"
"335","104258"
"336","5216"
"336","100389"
"337","58250"
"337","17988"
"338","40978"
"339","27878"
"339","98059"
"340","8325"
"340","30888"
"341","63154"
"341","39150"
"342","56386"
"343","108441"
"344","36384"
"344","81970"
"345","78373"
"345","109360"
"346","8581"
"346","83964"
"347","24249"
"348","101051"
"348","100159"
"349","95572"
"349","40140"
"350","66284"
"350","26451"
"351","13162"
"351","74255"
"352","46243"
"353","32213"
"353","58323"
"354","22527"
"354","87658"
"355","56925"
"355","19551"
"356","85707"
"356","9159"
"357","34704"
"358","34587"
"359","31552"
"360","109048"
"360","28947"
"361","47473"
"361","66330"
"362","37031"
"362","25732"
"363","71157"
"364","4883"
"365","48210"
"366","34589"
"367","5010"
"368","49001"
"369","44315"
"370","53698"
"371","77275"
"371","21713"
"372","78957"
"373","51808"
"374","99883"
"375","25093"
"376","15225"
"377","101796"
"377","28369"
"378","27144"
"378","24425"
"379","80552"
"379","43995"
"380","73113"
"380","2539"
"381","48833"
"382","12494"
"382","99552"
"383","72462"
"384","70795"
"385","1115"
"385","96085"
"386","102799"
"387","64489"
"387","17306"
"388","78538"
"388","77080"
"389","78574"
"389","93240"
"390","92976"
"390","63191"
"391","45706"
"392","70793"
"392","103136"
"393","107639"
"394","109466"
"395","87168"
"395","27358"
"396","8562"
"396","4441"
"397","10519"
"398","47033"
"398","19963"
"399","47665"
"399","4145"
"400","64770"
"401","12887"
"402","48405"
"403","95852"
"404","73199"
"404","37341"
"405","2803"
"406","2655"
"406","37434"
"407","1190"
"408","109962"
"408","60168"
"409","7112"
"410","92844"
"411","2556"
"411","82459"
"412","101586"
"412","74057"
"413","2640"
"414","95830"
"414","36967"
"415","94989"
"416","30893"
"417","4672"
"418","106361"
"418","57100"
"419","5771"
"419","34374"
"420","85343"
"421","83806"
"422","106200"
"422","80414"
"423","68581"
"424","29250"
"425","61961"
"426","84400"
"426","58778"
"427","17429"
"428","18792"
"429","57959"
"429","78394"
"430","78579"
"430","87705"
"431","44882"
"432","85125"
"433","81685"
"434","91172"
"434","30099"
"435","61888"
"435","102821"
"436","57403"
"436","83066"
"437","59807"
"437","92925"
"438","38720"
"438","79112"
"439","107378"
"439","49257"
"440","36901"
"441","51871"
"442","17302"
"443","104816"
"444","24150"
"444","11718"
"445","76628"
"445","36408"
"446","7742"
"447","92896"
"447","34341"
"448","94296"
"448","80226"
"449","73984"
"449","86455"
"450","20196"
"451","20494"
"452","20017"
"452","53729"
"453","20244"
"454","15316"
"454","56591"
"455","18234"
"455","47603"
"456","14287"
"456","41301"
"457","39757"
"457","8330"
"458","33518"
"458","70123"
"459","17675"
"459","79640"
"460","100765"
"461","9627"
